"simulation","cetacean_area","non_cetacean_area","overlap_area","area_ratio"
1,188.03659437452,693.142172586871,143.937111042988,0.271281422212054
2,368.545556485026,796.56050947942,223.610421928838,0.462671136842929
3,433.134827004834,793.19602889294,207.670750204247,0.546062777960901
4,157.68830615288,623.419508005792,83.2989852582238,0.25294092361225
5,323.825583024622,776.765390692933,323.825583024622,0.416889818862482
6,194.78749825607,443.657636477964,150.293938773141,0.439049127616548
7,225.510154838615,823.135576323887,214.16760302014,0.273964777279753
8,89.6346611033862,303.9763439529,71.2289333144624,0.294873804776318
9,363.097732299465,605.931819528276,338.22369327347,0.599238595164288
10,278.053041992023,587.694425040891,128.795223904189,0.473125199329016
11,247.070788440825,801.232633866783,241.332440567575,0.308363361647479
12,264.820518098718,473.933501628702,173.824785082769,0.558771467281055
13,519.023686990032,589.230542291898,358.81460288434,0.880849938584673
14,280.553092794556,664.948292564913,252.260635024368,0.421917156463965
15,187.657468379859,485.512300197205,187.657468379859,0.386514344340269
16,362.827618217285,1030.2897079735,252.862977636973,0.352160771295035
17,500.433933879765,1214.5045775334,462.956609241388,0.412047795567904
18,274.191126705973,617.348655974275,118.023375736774,0.444143068997624
19,247.736905775426,617.125977923614,186.247261311626,0.401436521290132
20,389.344727530508,572.232194194473,174.168847971106,0.680396404607374
21,207.956112327731,525.22456708721,104.162605938195,0.395937519604259
22,367.455065290811,642.901922040814,228.688859630857,0.571556955568541
23,285.352451638978,610.082038303757,103.550217021019,0.467728000044647
24,304.145954945722,567.512754042554,187.404329655605,0.535927964224952
25,600.473223040455,751.776860667547,244.513222467894,0.798738634369857
26,327.471287222579,883.670377992763,327.471287222579,0.370580813138065
27,186.110386895708,609.212434746878,130.02638545736,0.305493414580475
28,210.541978144557,571.176464954691,162.179089788649,0.368611087925792
29,152.737679576792,421.450532111321,133.747305835833,0.3624095070224
30,198.015509975355,408.047262403404,110.284186973186,0.48527591830672
31,485.335470337241,972.53153355781,469.316863004056,0.499043427992242
32,437.259206885347,874.660140883445,237.026361869418,0.499918981610041
33,234.05478364,341.178643061625,170.552858629824,0.686018273417321
34,282.94758214535,756.142704403561,270.605400908119,0.37419865390163
35,268.984300686531,493.984490544502,78.0077402985247,0.544519728524348
36,169.521263527977,632.766078516142,138.527982111049,0.26790510630012
37,401.478144523327,780.657856265747,197.87252498215,0.514281821800635
38,349.804802544304,878.630321494467,162.551559101034,0.398125120413918
39,368.976057001664,792.652845028277,271.247579058238,0.465495152532381
40,251.959726730923,424.99126497672,184.972254204721,0.592858600857891
41,259.401568171962,804.135502830204,202.601486355027,0.322584399344367
42,347.321600183806,813.930671850057,198.207569768594,0.426721356248128
43,201.667838792643,398.315938148244,95.1582671762681,0.506301203336702
44,447.326939716193,748.868319738334,254.95961150913,0.597337245982706
45,204.060375808896,384.906519663299,196.770419364424,0.53015567516861
46,211.80695753284,623.953093596966,167.570388921235,0.33945974418015
47,416.703363162234,765.4236621263,367.749676330206,0.544408781412188
48,391.997900139536,841.637763486732,329.042904225632,0.465756073629075
49,167.273744737514,661.039978735401,93.9687203590288,0.253046336255663
50,703.929640664825,850.955577246876,531.808636623007,0.827222547788301
51,340.722476394427,569.382068184914,238.309674538868,0.598407458599087
52,245.601755967622,414.622017039782,225.819716574428,0.592350974801362
53,344.745972086726,639.339256004083,340.425421193787,0.539222281205464
54,448.283236374294,621.389836891103,434.830600029919,0.721420290066402
55,477.713515631339,789.132878091079,410.405155855936,0.605365115171647
56,252.941832952621,822.661537818856,61.1629629261186,0.30746767816963
57,453.095997727967,898.767323636557,293.961864976832,0.5041304749428
58,517.129305613994,619.038301865414,318.903526217632,0.835375297547298
59,255.556319791513,600.890137041431,71.7432007222665,0.425296246414996
60,526.000652511098,1284.72833452678,350.347045366001,0.409425587009294
61,317.611988012161,569.128060542876,304.06050094215,0.558067700456025
62,166.282068945453,726.890329973652,135.055391517532,0.228758124972553
63,208.152361772381,756.356263848171,203.465934886789,0.27520412234487
64,140.510578034696,695.689279333001,55.1659365378468,0.201973182868956
65,222.08864296943,404.582313063741,150.497746986754,0.54893314857894
66,357.375750900226,848.737165194149,242.326684382928,0.421067635018052
67,369.611410620558,429.742761544346,211.792671042609,0.860075942390053
68,221.236654946631,583.611549129632,171.102017158668,0.379082037147091
69,211.884643925688,935.547586459014,211.884643925688,0.226481952380057
70,152.395126843751,490.039268471133,119.677288267134,0.31098554064699
71,182.750308063857,634.473643407954,182.750308063857,0.288034514849582
72,250.885818385544,392.51990402432,54.0489284521535,0.639167124554272
73,263.130321818112,703.325334826244,257.947403890204,0.37412319560921
74,324.36095835411,642.070494917368,183.563502039414,0.505179666285481
75,620.291470047356,1100.38232195158,570.553670321833,0.563705411903783
76,255.61503117842,718.370777258743,255.61503117842,0.355826043138657
77,339.138838596842,701.785322161767,297.233855582419,0.483251541300642
78,408.46532445914,850.40202597933,376.895769872602,0.480320262629605
79,359.573723838936,590.764625176602,257.825447877286,0.608658183843432
80,451.778199150014,740.584410036938,234.990756253347,0.610029313373583
81,524.645934942572,723.354000514452,408.669303742169,0.725296237484608
82,331.134410517578,590.374185804094,330.009370748324,0.560889040340696
83,664.147866638255,1014.51794015153,622.782406686651,0.654643787313465
84,375.96584438476,740.97935219217,152.494289495229,0.507390446538725
85,158.826838363753,416.880308839935,156.11912171432,0.380989063277479
86,336.329809572858,463.543965888606,213.996113049746,0.725561833014306
87,209.248934905526,664.167915603637,209.248934905526,0.315054265630021
88,389.167384708637,907.716103164217,358.569094840941,0.42873248954385
89,534.674545106987,863.086757135841,330.230970965058,0.619491077445456
90,422.070819870615,734.58434672763,352.878590281721,0.574570941718026
91,416.268251087805,750.927415676859,276.771055455015,0.554338864712505
92,349.882917578932,651.054680094396,312.71526603225,0.53740941932589
93,418.15982147847,712.239560201182,192.06810012584,0.587105581948236
94,559.478257402843,662.716058743766,215.237821141405,0.844220160385703
95,191.719902404674,858.072585675539,191.719902404674,0.223430867743826
96,210.97988719394,487.920953937169,208.88248484636,0.432405875360516
97,212.178584749224,547.334297898092,191.665368155803,0.387658119661139
98,556.477946070809,995.651071734824,374.693703866075,0.558908599476723
99,189.790186358014,579.966255284894,172.391838369673,0.327243498442481
100,366.390004048676,754.933385975628,215.080317659004,0.4853275942687
101,79.1729255817519,683.769030136485,79.1729255817519,0.115788990276363
102,260.314364234171,344.559816542809,205.538719987598,0.75549832492388
103,261.198024338302,568.621830108802,221.566458241973,0.459352790392032
104,188.688426228987,471.322362512953,175.417451721092,0.400338369736916
105,503.90591163685,821.621796313088,292.622342246509,0.613306406789665
106,371.785800847025,787.220429187446,342.321017776837,0.472276616640622
107,199.849396863269,717.523298955663,166.861152967461,0.278526700323382
108,235.727216369529,501.628070508049,187.106995159617,0.469924292974243
109,173.17497731076,997.322350092279,173.17497731076,0.173639924237872
110,191.384725384061,538.394780293171,135.812467025455,0.355472847043291
111,216.433700716519,406.626940028399,190.412754196841,0.532266014399841
112,182.254219298766,720.837964900142,155.816678229501,0.252836598754914
113,291.58813285824,642.935865047852,145.863807808281,0.453526002685412
114,496.543456374077,704.80475115596,174.022523875424,0.704512073109168
115,445.417855977743,658.839087577429,327.858978074359,0.676064708934557
116,343.15882943507,767.626591034429,220.022996226616,0.447038747019746
117,756.717055632431,1246.86642924576,659.969942266611,0.606895043352941
118,258.835846073697,525.185705100192,223.694858304963,0.492846327613426
119,580.497618580467,1039.43304042632,300.24779765263,0.558475241793716
