"model","pc","aic"
"BM","PC1",833.622014408978
"BM_multi","PC1",834.622014408978
"OU","PC1",835.622014365787
"EB","PC1",810.844728146246
"BM","PC2",799.966527463529
"BM_multi","PC2",800.966527463529
"OU","PC2",801.966527429803
"EB","PC2",783.072652978242
